#	z_max	r_eq	V_L
3.22346e-09	2.06153e-08	1.62771e-24
4.18634e-09	3.39638e-08	6.87266e-24
3.27524e-09	2.64234e-08	4.52432e-24
3.01273e-09	1.98654e-08	1.27943e-24
4.03936e-09	3.39638e-08	6.75059e-24
4.20579e-09	2.52485e-08	2.00348e-24
4.74936e-09	3.16506e-08	6.96463e-24
3.70407e-09	2.464e-08	2.05589e-24
3.05322e-09	2.80939e-08	4.14615e-24
3.96682e-09	2.86291e-08	5.19209e-24
3.42337e-09	2.33755e-08	2.81755e-24
3.57479e-09	3.21266e-08	7.4177e-24
4.25872e-09	2.80939e-08	3.08157e-24
2.97806e-09	2.80939e-08	4.97319e-24
3.2625e-09	2.80939e-08	5.45284e-24
2.69602e-09	2.40161e-08	3.6904e-24
3.1933e-09	3.01777e-08	3.90507e-24
3.15094e-09	2.96704e-08	4.70191e-24
4.22155e-09	3.73684e-08	6.93381e-24
3.50135e-09	3.11674e-08	5.98357e-24
4.36106e-09	3.16506e-08	7.89147e-24
3.2465e-09	2.40161e-08	3.63873e-24
4.3339e-09	3.06765e-08	7.1328e-24
3.08253e-09	2.69917e-08	3.25953e-24
3.16362e-09	2.27169e-08	2.71584e-24
2.92995e-09	1.55837e-08	8.06601e-25
3.79988e-09	2.91544e-08	4.11359e-24
4.45867e-09	3.25956e-08	6.76035e-24
3.43807e-09	2.40161e-08	3.59344e-24
4.09929e-09	3.06765e-08	5.59288e-24
4.09987e-09	3.57067e-08	6.59469e-24
3.12086e-09	2.58426e-08	3.74407e-24
3.96192e-09	2.64234e-08	3.63043e-24
3.97196e-09	2.58426e-08	4.64621e-24
4.46244e-09	2.91544e-08	5.91594e-24
3.10527e-09	2.27169e-08	3.14942e-24
3.42656e-09	3.39638e-08	8.11176e-24
3.21343e-09	3.52791e-08	8.57196e-24
2.14092e-09	1.74231e-08	1.33405e-24
3.59327e-09	2.91544e-08	4.69455e-24
4.6253e-09	3.06765e-08	6.03621e-24
3.54831e-09	3.39638e-08	8.0123e-24
3.11557e-09	3.3514e-08	3.69116e-24
3.94974e-09	3.16506e-08	6.10748e-24
4.18721e-09	2.27169e-08	2.8934e-24
4.18886e-09	3.21266e-08	6.40147e-24
3.60275e-09	2.40161e-08	3.61955e-24
3.22563e-09	3.44078e-08	6.93199e-24
3.77207e-09	2.27169e-08	2.01858e-24
4.40459e-09	3.69599e-08	9.32345e-24
2.75858e-09	3.3058e-08	5.20274e-24
2.93304e-09	3.25956e-08	5.55624e-24
3.24472e-09	2.80939e-08	4.75771e-24
3.82169e-09	2.64234e-08	4.20389e-24
3.05473e-09	2.13388e-08	9.36078e-25
3.48004e-09	3.11674e-08	6.59762e-24
3.52071e-09	3.25956e-08	5.8391e-24
3.58883e-09	2.91544e-08	5.2272e-24
3.94853e-09	3.6547e-08	6.24836e-24
3.33257e-09	3.11674e-08	4.82209e-24
3.54578e-09	2.80939e-08	5.24684e-24
2.666e-09	2.27169e-08	2.30196e-24
3.19559e-09	3.06765e-08	4.90396e-24
3.16205e-09	2.52485e-08	3.82187e-24
2.93957e-09	3.25956e-08	6.32471e-24
3.22e-09	2.58426e-08	2.87622e-24
3.70274e-09	2.64234e-08	3.94322e-24
3.39458e-09	2.69917e-08	2.87419e-24
3.37724e-09	2.96704e-08	4.37582e-24
4.04223e-09	3.3058e-08	3.76359e-24
3.27925e-09	3.3058e-08	3.45229e-24
