rel. 1/cm	CCD cts
 2.98168E+02	 6.16400E+02
 2.98550E+02	 6.14200E+02
 2.98933E+02	 6.13800E+02
 2.99315E+02	 6.15600E+02
 2.99698E+02	 6.15800E+02
 3.00080E+02	 6.15600E+02
 3.00462E+02	 6.13800E+02
 3.00845E+02	 6.15200E+02
 3.01227E+02	 6.15400E+02
 3.01609E+02	 6.15600E+02
 3.01992E+02	 6.15200E+02
 3.02374E+02	 6.16400E+02
 3.02756E+02	 6.15000E+02
 3.03138E+02	 6.15200E+02
 3.03520E+02	 6.14800E+02
 3.03902E+02	 6.14400E+02
 3.04284E+02	 6.15600E+02
 3.04667E+02	 6.14000E+02
 3.05049E+02	 6.14000E+02
 3.05431E+02	 6.15200E+02
 3.05813E+02	 6.15800E+02
 3.06195E+02	 6.13000E+02
 3.06577E+02	 6.14800E+02
 3.06958E+02	 6.14200E+02
 3.07340E+02	 6.14800E+02
 3.07722E+02	 6.15800E+02
 3.08104E+02	 6.14400E+02
 3.08486E+02	 6.19200E+02
 3.08868E+02	 6.13400E+02
 3.09249E+02	 6.16400E+02
 3.09631E+02	 6.14600E+02
 3.10013E+02	 6.14800E+02
 3.10395E+02	 6.16200E+02
 3.10776E+02	 6.17000E+02
 3.11158E+02	 6.17200E+02
 3.11539E+02	 6.13400E+02
 3.11921E+02	 6.15400E+02
 3.12303E+02	 6.14600E+02
 3.12684E+02	 6.14800E+02
 3.13066E+02	 6.13200E+02
