#	z_max	r_eq	V_L
8.62231e-09	3.3058e-08	1.4154e-23
1.05128e-08	4.98921e-08	3.70622e-23
7.29295e-09	4.15971e-08	2.17463e-23
8.53276e-09	4.37316e-08	2.44298e-23
7.2558e-09	3.81721e-08	1.57318e-23
8.45205e-09	4.19604e-08	2.21621e-23
7.29548e-09	3.81721e-08	1.76134e-23
7.85194e-09	3.93469e-08	1.90696e-23
8.46143e-09	3.61293e-08	1.48518e-23
6.9953e-09	2.80939e-08	8.60559e-24
9.74971e-09	4.8971e-08	3.26346e-23
7.52381e-09	3.21266e-08	1.15529e-23
9.21432e-09	4.23205e-08	2.43334e-23
7.41474e-09	3.57067e-08	1.49904e-23
9.05128e-09	4.866e-08	3.31698e-23
8.99533e-09	4.73959e-08	2.84838e-23
8.82979e-09	4.60972e-08	3.10515e-23
6.92645e-09	2.75483e-08	8.31066e-24
8.4806e-09	4.73959e-08	2.99375e-23
8.66637e-09	3.39638e-08	1.38178e-23
7.66499e-09	3.77724e-08	1.78186e-23
8.36819e-09	4.08608e-08	2.05815e-23
9.2483e-09	4.40773e-08	2.46434e-23
8.6348e-09	3.81721e-08	1.79248e-23
1.05259e-08	4.0111e-08	2.44677e-23
7.91871e-09	4.64253e-08	2.81949e-23
7.26135e-09	2.58426e-08	8.68209e-24
9.96613e-09	4.08608e-08	2.32019e-23
7.3304e-09	2.91544e-08	1.01051e-23
8.76661e-09	3.69599e-08	1.70529e-23
8.86152e-09	4.0111e-08	2.22307e-23
7.8343e-09	2.91544e-08	1.02961e-23
8.07484e-09	3.85676e-08	1.75416e-23
8.19978e-09	3.06765e-08	1.24441e-23
8.06928e-09	3.44078e-08	1.51643e-23
9.33162e-09	3.73684e-08	1.84644e-23
6.18422e-09	3.3058e-08	1.24123e-23
8.82536e-09	3.73684e-08	1.83146e-23
6.43436e-09	2.27169e-08	5.17238e-24
8.44802e-09	3.81721e-08	1.72681e-23
9.39535e-09	4.54339e-08	2.73922e-23
7.0286e-09	2.69917e-08	8.16264e-24
7.84701e-09	3.21266e-08	1.20263e-23
7.96028e-09	4.04876e-08	1.95689e-23
7.86251e-09	2.91544e-08	9.10371e-24
8.48242e-09	4.26777e-08	2.3403e-23
8.11387e-09	3.6547e-08	1.69712e-23
8.49925e-09	3.73684e-08	1.25138e-23
1.00074e-08	4.44203e-08	2.69807e-23
6.76492e-09	4.04876e-08	2.13218e-23
7.64412e-09	3.44078e-08	1.39433e-23
8.85717e-09	3.11674e-08	1.19411e-23
7.95541e-09	3.3514e-08	1.39975e-23
8.06525e-09	2.13388e-08	4.03457e-24
8.07074e-09	4.0111e-08	2.14824e-23
8.11663e-09	3.57067e-08	1.61284e-23
8.55371e-09	4.9587e-08	3.65344e-23
8.46222e-09	4.80321e-08	2.96107e-23
