 ,Area,StdDev,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
130,0.0013,0,0.1336,2.9730,1.7843,0.0449,0.0337,0.0447,0.0361,2.9270,0.8923,0.0463,1324,796,150.9454,0.0337,1.2358,0.8092,0.9418
131,0.0006,0,0.0926,2.7124,1.7910,0.0270,0.0292,0.0324,0.0240,56.4663,0.8952,0.0351,1207,809,39.8056,0.0262,1.3468,0.7425,0.9064
132,0.0032,0,0.2156,0.2854,1.8135,0.0562,0.0674,0.0718,0.0571,100.4465,0.8710,0.0767,132,807,121.8274,0.0562,1.2562,0.7961,0.9565
133,0.0023,0,0.1810,0.4315,1.8427,0.0494,0.0562,0.0584,0.0496,84.6809,0.8720,0.0617,195,821,123.1113,0.0476,1.1776,0.8492,0.9365
134,0.0017,0,0.1624,0.9775,1.9213,0.0472,0.0449,0.0519,0.0428,50.1394,0.8297,0.0593,435,873,37.3039,0.0445,1.2120,0.8251,0.9337
135,0.0014,0,0.1394,3.3079,1.9326,0.0360,0.0449,0.0485,0.0370,80.8356,0.9109,0.0505,1474,880,57.7244,0.0360,1.3136,0.7613,0.9538
136,0.0007,0,0.0979,2.8854,1.9483,0.0225,0.0337,0.0350,0.0242,81.0584,0.8743,0.0374,1285,881,57.2648,0.0225,1.4434,0.6928,0.9600
137,0.0023,0,0.1817,0.6562,1.9596,0.0562,0.0472,0.0608,0.0492,172.0611,0.8935,0.0639,294,874,140.7106,0.0472,1.2369,0.8084,0.9617
138,0.0029,0,0.2034,0.3438,1.9640,0.0697,0.0472,0.0741,0.0494,178.5639,0.8725,0.0732,153,891,17.8787,0.0472,1.5002,0.6666,0.9636
139,0.0025,0,0.1836,1.5618,1.9933,0.0562,0.0494,0.0599,0.0528,177.3601,0.9263,0.0633,695,902,27.4744,0.0494,1.1335,0.8822,0.9714
140,0.0028,0,0.1976,3.1371,2.0000,0.0607,0.0539,0.0632,0.0558,164.1444,0.8904,0.0688,1397,892,141.6325,0.0539,1.1324,0.8831,0.9547
141,0.0030,0,0.2106,0.7281,2.0225,0.0652,0.0517,0.0688,0.0556,178.2600,0.8517,0.0736,325,920,31.2637,0.0517,1.2358,0.8092,0.9528
142,0.0030,0,0.2058,1.7618,2.0225,0.0719,0.0494,0.0734,0.0513,176.6318,0.8777,0.0747,784,917,15.7086,0.0494,1.4292,0.6997,0.9505
143,0.0020,0,0.1696,2.5483,2.0427,0.0517,0.0449,0.0537,0.0479,10.2726,0.8828,0.0617,1134,927,33.1113,0.0449,1.1193,0.8934,0.9479
144,0.0007,0,0.1400,2.8787,2.0427,0.0360,0.0404,0.0408,0.0230,57.2879,0.4729,0.0463,1281,925,39.0939,0.0326,1.7720,0.5643,0.6682
145,0.0005,0,0.1342,1.0539,2.0944,0.0360,0.0315,0.0307,0.0227,47.7771,0.3808,0.0393,469,943,30.9638,0.0310,1.3533,0.7389,0.6409
146,0.0015,0,0.1465,0.0022,2.1011,0.0404,0.0427,0.0442,0.0436,130.2158,0.8865,0.0512,1,935,127.8750,0.0404,1.0147,0.9855,0.9585
147,0.0026,0,0.1989,0.9371,2.1011,0.0697,0.0449,0.0755,0.0440,169.3156,0.8274,0.0747,417,938,158.8387,0.0443,1.7174,0.5823,0.9591
148,0.0023,0,0.1817,3.2315,2.1124,0.0539,0.0472,0.0578,0.0504,172.4888,0.8704,0.0625,1439,942,142.3058,0.0472,1.1455,0.8730,0.9567
149,0.0011,0,0.1207,3.3843,2.1124,0.0360,0.0382,0.0397,0.0346,56.6052,0.9326,0.0432,1507,955,38.6598,0.0357,1.1461,0.8725,0.9325
150,0.0027,0,0.2003,2.5416,2.1303,0.0629,0.0517,0.0665,0.0526,175.8017,0.8609,0.0692,1132,951,144.2461,0.0502,1.2629,0.7918,0.9461
151,0.0039,0,0.2349,0.1034,2.1326,0.0674,0.0652,0.0719,0.0695,3.0257,0.8937,0.0810,46,973,33.6901,0.0652,1.0353,0.9659,0.9664
152,0.0017,0,0.1542,1.9708,2.1506,0.0472,0.0382,0.0520,0.0404,170.7162,0.8725,0.0558,878,957,139.8991,0.0382,1.2856,0.7779,0.9632
